# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	148898
#@/user_id	Mac
B zhan 	B站	c=1 d=1 t=103033
pian qian 	骗钱	c=1 d=1 t=104552
pian ren 	骗人	c=1 d=1 t=87977
pian ta 	骗他	c=1 d=1 t=42990
pian wo 	骗我	c=1 d=1.09005 t=13241
pian wo qian 	骗我钱	c=1 d=1 t=13242
pian yi 	便宜	c=73 d=1.94801 t=147598
pian yi hao he 	便宜好喝	c=1 d=1 t=43437
pian yuan 	片源	c=1 d=1 t=76990
pian zi 	片子	c=7 d=1 t=135632
pian zi 	骗子	c=5 d=1 t=112890
pian zou 	骗走	c=1 d=1 t=7133
piao 	嫖	c=2 d=1 t=79533
piao 	票	c=12 d=3.24292 t=148125
piao chang 	嫖娼	c=1 d=1 t=4771
piao ju 	票据	c=2 d=1.42316 t=21038
piao liang 	漂亮	c=1 d=1 t=88351
piao ling 	嘌呤	c=1 d=1 t=109497
piao ti 	飘提	c=1 d=1 t=14707
pie qing 	撇清	c=1 d=1 t=11004
pin 	拼	c=10 d=1 t=132663
pin che 	拼车	c=4 d=1 t=135452
pin dao 	频道	c=7 d=1 t=142942
pin duo duo 	拼多多	c=2 d=1.74082 t=69403
pin fa 	频发	c=1 d=1 t=5871
pin fan 	频繁	c=3 d=1 t=114209
pin jie 	拼接	c=14 d=1 t=130661
pin lv 	频率	c=3 d=1 t=111263
pin lv gao 	频率高	c=1 d=1 t=68128
pin pai 	品牌	c=5 d=1 t=111363
pin wei 	品味	c=1 d=1 t=137875
pin yin 	拼音	c=1 d=1 t=141507
ping 	平	c=3 d=1 t=109734
ping 	瓶	c=2 d=1 t=24448
ping an jing 	平安京	c=1 d=1 t=19544
ping bi 	屏蔽	c=15 d=4.81614 t=131219
ping ce 	评测	c=24 d=1 t=111188
ping dan 	平淡	c=1 d=1 t=123306
ping fen 	评分	c=5 d=1 t=142852
ping guo 	苹果	c=24 d=1.97045 t=147268
ping guo dian 	苹果店	c=1 d=1 t=18920
ping heng 	平衡	c=2 d=1 t=113931
ping hua 	平滑	c=1 d=1 t=141105
ping ji 	平级	c=1 d=1 t=32126
ping jia 	评价	c=20 d=1 t=132791
ping jie 	凭借	c=1 d=1 t=35785
ping jing 	瓶颈	c=4 d=1 t=147533
ping jun 	平均	c=3 d=1 t=145515
ping lun 	评论	c=49 d=1 t=147462
ping mu 	屏幕	c=13 d=1 t=143039
ping pu 	平铺	c=3 d=1 t=135014
ping sha 	凭啥	c=2 d=1 t=123659
ping shi 	平时	c=89 d=1.00032 t=145055
ping shui 	萍水	c=0 d=0.1 t=141564
ping shui jie 	萍水街	c=1 d=1 t=141565
ping tai 	平台	c=33 d=1 t=145248
ping tai re 	平台热	c=0 d=0.1 t=32142
ping tai re de 	平台热的	c=1 d=1 t=32143
ping tong 	平同	c=1 d=0.100014 t=147275
ping xing yu zhou 	平行宇宙	c=1 d=1 t=36599
ping yi 	评议	c=1 d=1 t=71735
ping yu 	评语	c=1 d=1 t=105207
ping zheng 	凭证	c=1 d=1 t=21475
ping zi 	瓶子	c=1 d=1 t=17564
po 	破	c=7 d=1.90937 t=143465
po bu diao 	破不掉	c=1 d=1 t=75602
po bu ji dai 	迫不及待	c=1 d=1 t=97529
po chan 	破产	c=21 d=1 t=125323
po chan jie mei 	破产姐妹	c=3 d=2.93124 t=56584
po fei 	破费	c=1 d=1 t=24173
po fei 	颇费	c=-1 d=0.99005 t=24173
po huai 	破坏	c=2 d=1 t=146086
po jian zhi yi 	破茧之衣	c=1 d=1 t=68318
po jie 	破解	c=17 d=1 t=141869
po jie ban 	破解版	c=1 d=1 t=100800
po jie ban ben 	破解版本	c=1 d=1 t=49477
po po 	婆婆	c=1 d=1 t=69229
po shi 	破事	c=1 d=1 t=140256
po sun 	破损	c=0 d=0.1 t=81132
po zhan 	破绽	c=5 d=1 t=73051
pu 	噗	c=2 d=1 t=147488
pu 	普	c=0 d=0.1 t=2288
pu 	谱	c=1 d=0.1 t=69200
pu bian 	普遍	c=4 d=1 t=99790
pu dian 	铺垫	c=2 d=1 t=123271
pu gong 	普攻	c=1 d=1 t=61496
pu gua 	蒲瓜	c=3 d=1.43387 t=59583
pu ji 	普及	c=4 d=1 t=49294
pu ke 	扑克	c=1 d=1 t=81329
pu ke pai 	扑克牌	c=1 d=1 t=29387
pu ping 	铺平	c=1 d=1 t=135015
pu pu tong tong 	普普通通	c=1 d=1 t=78450
pu sa 	菩萨	c=2 d=1 t=11850
pu shi wu hua 	朴实无华	c=1 d=1 t=12810
pu su 	朴素	c=2 d=1 t=71335
pu tao 	葡萄	c=1 d=1 t=5821
pu tong 	普通	c=29 d=1.00002 t=145457
pu tong ren 	普通人	c=6 d=1 t=125546
qi 	器	c=0 d=0.1 t=93307
qi 	气	c=5 d=0.1 t=136926
qi 	起	c=5 d=1 t=79347
qi bo qi 	起搏器	c=2 d=1.81465 t=19271
qi bu 	起步	c=8 d=1.28508 t=92346
qi bu lai 	起不来	c=5 d=1.69073 t=135080
qi bu lai le 	起不来了	c=1 d=1 t=116788
qi che 	汽车	c=3 d=1 t=86556
qi che 	骑车	c=7 d=1.9802 t=146619
qi chuang 	起床	c=9 d=1 t=134481
qi dai 	期待	c=6 d=1 t=136655
qi dao 	祈祷	c=1 d=1 t=45203
qi de lai 	起得来	c=1 d=1 t=135408
qi de wan 	起得晚	c=1 d=1 t=32264
qi de zao 	起得早	c=1 d=1 t=36814
qi dian 	气垫	c=1 d=1 t=2934
qi dong 	启动	c=48 d=1.36067 t=147947
qi dong dai li 	启动代理	c=1 d=1 t=91445
qi dong qi 	启动器	c=2 d=1 t=94445
qi fang 	期房	c=1 d=1 t=22708
qi fei 	起飞	c=9 d=1 t=128478
qi fei le 	起飞了	c=1 d=1 t=3034
qi fu 	欺负	c=5 d=1 t=144613
qi fu ren 	欺负人	c=1 d=1 t=98214
qi guai 	奇怪	c=33 d=1 t=141655
qi guan 	器官	c=1 d=1 t=30732
qi ji 	奇迹	c=1 d=1 t=81119
qi jian 	旗舰	c=1 d=1 t=58243
qi jian 	期间	c=2 d=1 t=58242
qi jian dian 	旗舰店	c=2 d=1 t=74101
qi lai 	起来	c=84 d=1.05026 t=145447
qi lai hai 	起来嗨	c=1 d=1 t=18077
qi lai le 	起来了	c=3 d=1 t=133158
qi le 	起了	c=1 d=1 t=124945
qi lin 	麒麟	c=6 d=1 t=129355
qi lv zhao ma 	骑驴找马	c=2 d=1 t=135887
qi miao 	七秒	c=1 d=1 t=9922
qi mo 	期末	c=1 d=1 t=105206
qi nei 	气馁	c=1 d=1 t=32427
qi pai 	棋牌	c=5 d=1 t=132971
qi pai 	气派	c=1 d=1 t=29879
qi pian 	欺骗	c=1 d=1 t=55417
qi qi ba ba 	七七八八	c=1 d=0.606531 t=148898
qi qi guai guai 	奇奇怪怪	c=5 d=1 t=135793
qi qian 	七千	c=1 d=1 t=33424
qi quan 	弃权	c=2 d=1.96079 t=83390
qi quan 	齐全	c=3 d=1 t=112918
qi shi 	七十	c=1 d=1 t=83389
qi shi 	其实	c=138 d=0.40657 t=148898
qi shi ba 	七十八	c=1 d=1 t=83386
qi shou 	起手	c=1 d=1 t=97975
qi shui 	契税	c=1 d=1 t=129988
qi si 	气死	c=11 d=1 t=132760
qi si le 	气死了	c=1 d=1 t=76259
qi si wo 	气死我	c=1 d=1 t=72433
qi su 	起诉	c=1 d=1 t=47736
qi ta 	其他	c=128 d=1.06238 t=148876
qi ta lei 	其他类	c=1 d=1 t=51731
qi ta lu 	其他路	c=1 d=1 t=61132
qi ta ren 	其他人	c=3 d=1 t=144785
qi ta sa 	其他萨	c=1 d=1 t=60126
qi ta shi 	其他事	c=1 d=1 t=100766
qi xian 	期限	c=1 d=1 t=36364
qi xing 	骑行	c=1 d=1 t=98383
qi xing ku 	骑行裤	c=1 d=1 t=21780
qi xue 	气血	c=1 d=1 t=46238
qi ye 	企业	c=7 d=1 t=141881
qi you 	汽油	c=1 d=1 t=48989
qi zhe 	骑着	c=1 d=1 t=107485
qi zhi 	气质	c=1 d=1 t=135683
qi zhi shi 	岂止是	c=1 d=1 t=119081
qi zhong 	其中	c=11 d=1.0001 t=142909
qi zhong 	期中	c=1 d=1 t=22074
qia 	掐	c=2 d=1.41478 t=81014
qia dian 	掐点	c=1 d=1 t=38573
qia fan 	恰饭	c=1 d=1 t=45454
qian 	前	c=42 d=1 t=144275
qian 	浅	c=3 d=1 t=72542
qian 	钱	c=83 d=1.65377 t=141884
qian bao 	钱包	c=4 d=1 t=125337
qian bu zhu 	牵不住	c=1 d=1 t=53408
qian dao 	签到	c=5 d=1.92096 t=81141
qian ding 	签订	c=1 d=1 t=21360
qian duan 	前段	c=3 d=1 t=130310
qian duan 	前端	c=91 d=1 t=143907
qian fei 	欠费	c=1 d=1 t=66364
qian hou 	前后	c=1 d=1 t=129732
qian hou duan 	前后端	c=4 d=1 t=74877
qian ji ge yue 	前几个月	c=1 d=1 t=52882
qian ji nian 	前几年	c=1 d=1 t=37890
qian ji tian 	前几天	c=12 d=1 t=103714
qian jia 	千家	c=1 d=1 t=120915
qian jing 	前景	c=1 d=1 t=26796
qian liang tian 	前两天	c=4 d=1 t=140532
qian mian 	前面	c=18 d=1 t=145003
qian ming 	签名	c=8 d=1.91851 t=136247
qian pai 	前排	c=4 d=1 t=130265
qian pian yi lv 	千篇一律	c=1 d=1 t=86860
qian qi 	前期	c=9 d=1 t=147749
qian ru 	嵌入	c=2 d=1 t=78875
qian san 	前三	c=1 d=1 t=81983
qian san fei 	遣散费	c=1 d=1 t=130169
qian se 	浅色	c=1 d=1 t=97500
qian shou 	签收	c=1 d=1 t=19092
qian shui ting 	潜水艇	c=0 d=0.0227638 t=148898
qian shui ting shi de 	潜水艇似的	c=1 d=0.228779 t=148898
qian shui yuan 	潜水员	c=1 d=1 t=68891
qian suan 	铅酸	c=2 d=1 t=62316
qian tai 	前台	c=3 d=2.43753 t=114589
qian tao 	嵌套	c=1 d=1 t=26009
qian ti 	前提	c=4 d=1 t=141293
qian ti 	嵌体	c=16 d=1.9802 t=133952
qian ti shi 	前提是	c=1 d=1 t=113299
qian tian 	前天	c=8 d=1 t=147955
qian tong shi 	前同事	c=2 d=1 t=138159
qian tu 	前途	c=1 d=1 t=139065
qian wo 	欠我	c=1 d=1 t=47685
qian xian 	浅显	c=1 d=1 t=145875
qian xing 	潜行	c=1 d=1 t=5796
qian xu 	谦虚	c=1 d=1 t=6172
qian yi 	前一	c=0 d=0.1 t=63638
qian yi 	迁移	c=5 d=1 t=132812
qian yi ba 	前一把	c=1 d=1 t=63639
qian yuan ji 	千元机	c=1 d=1 t=58094
qian zhao 	前兆	c=1 d=1 t=95301
qian zhao 	千兆	c=1 d=1 t=95300
qian zhe 	前者	c=2 d=1 t=145922
qian zhe 	牵着	c=1 d=1 t=53403
qian zheng 	签证	c=1 d=1 t=83258
qian zhi 	前置	c=1 d=1 t=811
qian zhi 	牵制	c=1 d=1 t=79453
qian zhui 	前缀	c=4 d=1 t=146918
qian zhui shu 	前缀树	c=4 d=1 t=126918
qian zi 	签字	c=1 d=1 t=11091
qiang 	墙	c=6 d=1 t=127465
qiang 	强	c=31 d=1 t=142948
qiang 	抢	c=23 d=1.03162 t=97866
qiang da 	抢答	c=1 d=1 t=140199
qiang dao 	强盗	c=2 d=1 t=76607
qiang dao 	抢到	c=2 d=1.99005 t=76610
qiang du 	强度	c=11 d=1.45612 t=109708
qiang duo 	抢夺	c=1 d=1 t=101826
qiang duo le 	强多了	c=2 d=1 t=133232
qiang hua 	强化	c=1 d=1 t=108894
qiang jian 	强奸	c=1 d=1 t=137614
qiang jiao 	墙角	c=1 d=1 t=87085
qiang jiu 	抢救	c=1 d=1 t=19216
qiang le 	抢了	c=1 d=1 t=101871
qiang li 	强力	c=1 d=1 t=56772
qiang lie 	强烈	c=3 d=1 t=76943
qiang piao 	抢票	c=3 d=2.86975 t=97033
qiang ren zhe 	强忍着	c=1 d=1 t=23465
qiang shi 	强势	c=3 d=1 t=75231
qiang wei 	蔷薇	c=1 d=1 t=57752
qiang wei zhi 	抢位置	c=2 d=1 t=106159
qiang xing 	强行	c=1 d=1 t=97382
qiang zhi 	强制	c=6 d=1 t=121415
qiang zhi guan ji 	强制关机	c=1 d=1 t=60338
qiang zhi kai ji 	强制开机	c=1 d=1 t=13091
qiao 	敲	c=11 d=1 t=137120
qiao dong 	撬动	c=1 d=1 t=5085
qiao dong 	桥洞	c=1 d=1 t=5086
qiao jian pan 	敲键盘	c=1 d=1 t=76941
qiao jie 	桥接	c=3 d=1 t=25060
qiao ke li 	巧克力	c=1 d=1 t=65142
qiao men 	敲门	c=1 d=1 t=93140
qiao qi lai 	翘起来	c=1 d=1 t=16958
qiao qiao 	悄悄	c=0 d=0.1 t=135788
qiao qiao jie hun 	悄悄结婚	c=1 d=1 t=135789
qiao zha le suo 	敲诈勒索	c=1 d=1 t=59676
qie 	且	c=2 d=1 t=103347
qie 	切	c=23 d=1 t=147835
qie chu 	切除	c=1 d=1 t=51894
qie fen 	切分	c=2 d=1 t=118148
qie ge 	切割	c=1 d=1 t=143250
qie huan 	切换	c=20 d=1 t=147058
qie kai 	切开	c=1 d=1 t=108945
qie ru dian 	切入点	c=1 d=1 t=103237
qie yi 	惬意	c=1 d=1 t=87200
qie zi 	茄子	c=7 d=1 t=36095
qin 	亲	c=2 d=1 t=147356
qin 	勤	c=1 d=1 t=97635
qin cai 	芹菜	c=7 d=1.03995 t=146632
qin jie mei 	亲姐妹	c=1 d=1 t=19853
qin kuai 	勤快	c=6 d=1 t=135025
qin qi 	亲戚	c=2 d=1 t=61590
qin ru xing 	侵入性	c=2 d=1 t=139149
qin shi huang 	秦始皇	c=1 d=1 t=41957
qin zi 	亲自	c=1 d=1 t=120138
qin zi jian ding 	亲子鉴定	c=1 d=1 t=70377
qin zui 	亲嘴	c=1 d=1 t=49721
qing 	清	c=1 d=1 t=21553
qing 	请	c=4 d=1 t=120818
qing 	轻	c=7 d=1 t=103457
qing bang wo 	请帮我	c=1 d=1 t=94051
qing bao 	轻薄	c=1 d=1 t=12950
qing cai 	青菜	c=3 d=1 t=134873
qing chu 	清楚	c=21 d=1 t=148425
qing chu 	清除	c=1 d=1 t=135428
qing chun 	庆春	c=0 d=0.1 t=10088
qing chun 	青春	c=4 d=1 t=71416
qing chun yuan qu 	庆春院区	c=1 d=1 t=10089
qing dan 	清单	c=5 d=1 t=147252
qing dan 	清淡	c=3 d=1 t=39537
qing gan 	情感	c=1 d=1 t=34085
qing gang ying 	青钢影	c=1 d=1 t=53661
qing hao 	青蒿	c=1 d=1 t=20050
qing hua 	清华	c=2 d=1 t=136944
qing huai 	情怀	c=1 d=1 t=52909
qing jia 	请假	c=7 d=1.97531 t=127709
qing jiao 	青椒	c=7 d=1.00004 t=86629
qing jie 	清洁	c=2 d=1 t=53325
qing jing 	情景	c=2 d=1.91851 t=27793
qing ke 	请客	c=3 d=0.479505 t=148898
qing kong 	清空	c=4 d=1.94649 t=127120
qing kuai 	轻快	c=1 d=1 t=119148
qing kuang 	情况	c=64 d=1.00002 t=147524
qing li 	清理	c=24 d=1.98057 t=148765
qing li le 	清理了	c=1 d=1 t=42833
qing liang 	轻量	c=3 d=1 t=47262
qing liang ji 	轻量级	c=1 d=1 t=18107
qing liang yun 	轻量云	c=3 d=1.86502 t=39030
qing ling 	清零	c=1 d=1 t=48040
qing ming jie 	清明节	c=2 d=1.60351 t=145744
qing ni 	请你	c=6 d=1 t=127889
qing ning 	清柠	c=1 d=1 t=17534
qing ning zhi 	青柠汁	c=1 d=1 t=34636
qing pen 	倾盆	c=1 d=1 t=874
qing qiu 	请求	c=52 d=1.77138 t=141357
qing qiu liang 	请求量	c=1 d=1 t=141311
qing rui 	清锐	c=1 d=1 t=23644
qing se 	青色	c=1 d=1 t=46177
qing shi 	情势	c=1 d=1 t=38093
qing shi 	轻视	c=1 d=1 t=105053
qing song 	轻松	c=4 d=1 t=71282
qing tian 	晴天	c=1 d=1 t=17152
qing tui 	清退	c=17 d=1 t=135480
qing wa 	青蛙	c=2 d=1 t=84346
qing wan 	清完	c=1 d=1 t=100055
qing wen 	请问	c=5 d=1.26448 t=130207
qing wo 	请我	c=5 d=1 t=76283
qing xi 	清晰	c=6 d=1 t=145427
qing xi 	清洗	c=1 d=1 t=46344
qing xian 	请先	c=2 d=1.74826 t=100077
qing xing 	情形	c=1 d=1 t=43692
qing xing 	清醒	c=2 d=1.99501 t=43694
qing xu 	情绪	c=2 d=1 t=21214
qing yang 	清扬	c=2 d=1 t=86346
qing yong 	请用	c=2 d=1.00199 t=103458
qing zheng 	清蒸	c=1 d=1 t=6834
qing zhu 	庆祝	c=1 d=1 t=52647
qiong 	穷	c=5 d=1.5975 t=85503
qiong ren 	穷人	c=2 d=1 t=121283
qiu 	求	c=1 d=1 t=42330
qiu 	球	c=10 d=2.98506 t=130196
qiu chang 	球场	c=1 d=1 t=71641
qiu dui 	球队	c=1 d=1 t=74390
qiu ku 	秋裤	c=1 d=1 t=74943
qiu kui 	秋葵	c=3 d=1 t=105612
qiu pai 	球拍	c=1 d=1 t=5900
qiu tian 	秋天	c=1 d=1 t=23613
qiu zhi 	求职	c=1 d=1 t=39626
qu 	区	c=5 d=1.54335 t=91986
qu 	去	c=588 d=1.23136 t=148898
qu 	取	c=2 d=1 t=33318
qu 	趣	c=9 d=1.00124 t=4967
qu ba 	去吧	c=4 d=1 t=118109
qu bei 	去呗	c=1 d=1 t=14622
qu bie 	区别	c=71 d=1.24442 t=145461
qu chi 	去吃	c=0 d=0.1 t=3767
qu chi dong xi ba 	去吃东西吧	c=1 d=1 t=3768
qu chu 	去除	c=4 d=1 t=142699
qu chuang dang 	去闯荡	c=1 d=1 t=66307
qu dai 	取代	c=3 d=1 t=118777
qu dao 	渠道	c=3 d=1 t=48230
qu diao 	去掉	c=12 d=1 t=148661
qu dong 	驱动	c=7 d=1.02647 t=147034
qu fen 	区分	c=5 d=0.97531 t=148898
qu guang gao 	去广告	c=1 d=1 t=43917
qu guo 	去过	c=3 d=1 t=135736
qu huo 	取货	c=1 d=1 t=82711
qu kuai lian 	区块链	c=1 d=1 t=141789
qu mang ba 	去忙吧	c=1 d=1 t=68628
qu mo 	驱魔	c=1 d=1 t=5921
qu na 	去哪	c=2 d=0.551563 t=148898
qu na 	去拿	c=1 d=1 t=108745
qu na li chi 	去哪里吃	c=1 d=1 t=113721
qu nian 	去年	c=14 d=1 t=140173
qu nong 	去弄	c=1 d=1 t=112927
qu nuan 	取暖	c=1 d=1 t=76932
qu nuan qi 	取暖器	c=1 d=1 t=59456
qu qian 	取钱	c=1 d=1 t=33313
qu se 	取色	c=2 d=1.98511 t=93538
qu shi 	去世	c=4 d=1 t=77527
qu shi 	趋势	c=3 d=1 t=53077
qu xian 	曲线	c=1 d=1 t=113073
qu xiao 	取消	c=27 d=1 t=140707
qu yi yuan 	去医院	c=1 d=1 t=33443
qu yu 	区域	c=4 d=1.92312 t=121250
qu zhou 	衢州	c=2 d=1.98511 t=143369
qu zuo fan 	去做饭	c=1 d=1 t=48769
quan 	全	c=27 d=1 t=146158
quan 	券	c=5 d=1 t=145523
quan 	圈	c=1 d=1 t=78544
quan bu 	全部	c=30 d=1.58133 t=146152
quan chang 	全场	c=5 d=1.64404 t=76038
quan cheng 	全称	c=1 d=1 t=114872
quan cheng 	全程	c=2 d=1.88692 t=71475
quan dian 	圈点	c=1 d=1 t=117262
quan duan 	全端	c=6 d=1.00004 t=79180
quan dui 	全队	c=2 d=1 t=106251
quan e 	全额	c=2 d=1 t=87691
quan guan 	全馆	c=1 d=1 t=104595
quan guo 	全国	c=2 d=1 t=88179
quan ji 	拳击	c=3 d=1 t=142748
quan jia 	全家	c=2 d=1 t=127159
quan jia tong 	全家桶	c=1 d=1 t=93141
quan jiao 	全角	c=1 d=1 t=142740
quan ju 	全局	c=24 d=1 t=143909
quan kai 	全开	c=1 d=1 t=104587
quan li 	圈里	c=2 d=1 t=109689
quan li 	权利	c=1 d=1 t=21078
quan li de you xi 	权力的游戏	c=1 d=1 t=59289
quan liang 	全量	c=10 d=3.52857 t=139842
quan liang 	权量	c=1 d=1 t=67452
quan ma 	全麻	c=6 d=2.73281 t=51930
quan mian 	全面	c=6 d=1 t=147772
quan ming 	全名	c=1 d=1 t=125405
quan nei 	圈内	c=1 d=1 t=62495
quan neng 	全能	c=3 d=1 t=92780
quan pin 	全拼	c=3 d=1 t=141540
quan ping 	全屏	c=4 d=1.37719 t=144993
quan ping tai 	全平台	c=1 d=1 t=141464
quan qi lai 	圈起来	c=1 d=1 t=104551
quan qiu 	全球	c=4 d=1 t=79593
quan qiu liu 	全球流	c=1 d=1 t=78752
quan quan 	圈圈	c=1 d=1 t=99734
quan quan dao rou 	拳拳到肉	c=1 d=1 t=125108
quan shi 	全是	c=17 d=1 t=148555
quan shi 	权势	c=1 d=1 t=107339
quan tao 	全套	c=1 d=1 t=147423
quan tian 	全天	c=1 d=1 t=70032
quan tui 	劝退	c=1 d=1 t=65123
quan wang 	全网	c=1 d=1 t=84109
quan wo 	劝我	c=1 d=1 t=32300
quan wu 	全屋	c=1 d=1 t=6725
quan xian 	权限	c=9 d=1 t=141300
quan xin 	全新	c=3 d=1.35433 t=35685
quan yu 	痊愈	c=2 d=1 t=143462
quan ze 	全责	c=2 d=1 t=123275
quan zhan 	全栈	c=7 d=1 t=120272
quan zhan 	全站	c=1 d=1 t=113244
quan zhi 	全职	c=7 d=1 t=121773
quan zhui xing 	全锥形	c=1 d=1 t=33765
quan zi 	圈子	c=7 d=1 t=138559
quan zi li 	圈子里	c=3 d=1 t=61436
que 	却	c=1 d=1 t=109301
que 	缺	c=9 d=1 t=141078
que bie 	缺别	c=1 d=1 t=44141
que dian 	缺点	c=2 d=1 t=69793
que ding 	确定	c=9 d=1 t=148030
que huo 	缺货	c=3 d=1.00001 t=8322
que kou 	缺口	c=1 d=1 t=85252
que li 	确立	c=1 d=1 t=111969
que qian 	缺钱	c=2 d=1 t=88882
que qie 	确切	c=2 d=1 t=81439
que ren 	确认	c=9 d=0.546074 t=148898
que shi 	确实	c=222 d=1.63621 t=148898
que shi que shi 	确实确实	c=1 d=1 t=134039
que shi shuai 	确实帅	c=1 d=1 t=57160
que xian 	缺陷	c=2 d=1.97045 t=133137
qun 	群	c=32 d=0.275271 t=148898
qun kong 	群控	c=2 d=1 t=137246
qun li 	群里	c=43 d=1.00165 t=148435
qun liao 	群聊	c=1 d=1 t=44503
qun ou 	群殴	c=9 d=1.79453 t=135296
qun zhu 	群主	c=3 d=1 t=112302
qun zi 	裙子	c=1 d=1 t=4998
ran 	然	c=0 d=0.1 t=143758
ran ai zi 	染艾滋	c=1 d=1 t=78704
ran guo 	然过	c=1 d=1 t=74694
ran hou 	然后	c=260 d=1.21271 t=148898
ran hou ne 	然后呢	c=1 d=1 t=3093
ran hou nie 	然后捏	c=1 d=1 t=3085
ran hou ying le 	然后赢了	c=1 d=1 t=73256
ran hui 	然会	c=1 d=1 t=122717
ran jia 	然加	c=1 d=1 t=78107
ran lian jie 	然连接	c=1 d=1 t=143759
ran qi 	燃气	c=8 d=3.11318 t=114797
ran qi biao 	燃气表	c=2 d=1.99005 t=21421
ran qi fei 	燃气费	c=6 d=1 t=127909
ran qi re shui qi 	燃气热水器	c=2 d=1 t=114626
ran qi zao 	燃气灶	c=2 d=1.83946 t=21410
rang 	让	c=135 d=1.96105 t=148399
rang ni 	让你	c=39 d=1 t=145080
rang ni he 	让你和	c=1 d=1 t=21568
rang ni men 	让你们	c=1 d=0.199888 t=148898
rang ta 	让他	c=23 d=1 t=145155
rang ta 	让她	c=3 d=1 t=84267
rang ta 	让它	c=1 d=1 t=109409
rang ta men 	让他们	c=4 d=1 t=144470
rang wo 	让我	c=76 d=1 t=148058
rang wo men 	让我们	c=1 d=1 t=21004
rang zuo 	让座	c=1 d=1 t=5078
rao 	绕	c=1 d=1 t=88921
rao hou 	绕后	c=1 d=1 t=76135
rao kai 	绕开	c=5 d=1 t=60177
rao wan 	绕弯	c=1 d=1 t=96594
re 	惹	c=3 d=1 t=136921
re 	热	c=31 d=1 t=136991
re de 	热的	c=1 d=1 t=114775
re dian 	热点	c=1 d=1 t=16246
re du 	热度	c=6 d=1 t=119699
re fan 	热饭	c=1 d=1 t=42776
re geng xin 	热更新	c=2 d=1 t=118348
re gou 	热狗	c=1 d=1 t=146500
re he 	热河	c=1 d=1 t=99492
re le 	热了	c=1 d=1 t=30458
re lian 	热恋	c=1 d=1 t=61267
re men 	热门	c=8 d=1.99501 t=130785
re nao 	热闹	c=2 d=1.00165 t=22190
re qi lai 	热起来	c=1 d=1 t=109066
re shui 	热水	c=4 d=1 t=93760
re shui dai 	热水袋	c=4 d=1.01029 t=112351
re shui dai le 	热水袋了	c=1 d=1 t=111162
re shui qi 	热水器	c=10 d=1.0035 t=134918
re si le 	热死了	c=1 d=1 t=77183
re xue 	热血	c=1 d=1 t=5910
re you 	热油	c=1 d=1 t=6841
ren 	人	c=211 d=1.12401 t=148898
ren 	忍	c=8 d=2.61729 t=81830
ren bu zai 	人不在	c=1 d=1 t=52717
ren bu zhu 	忍不住	c=3 d=1 t=133764
ren de 	认得	c=0 d=0.1 t=4141
ren de chu lai 	认得出来	c=1 d=1 t=4142
ren de zhu 	忍得住	c=4 d=1.10915 t=40534
ren dui li 	人堆里	c=1 d=1 t=97874
ren duo 	人多	c=2 d=1 t=130389
ren ge mei li 	人格魅力	c=1 d=1 t=30859
ren gong 	人工	c=7 d=1 t=138028
ren he 	任何	c=9 d=1 t=142585
ren hua 	人话	c=2 d=1.75957 t=142166
ren hui duo 	人会多	c=0 d=0.1 t=21668
ren hui duo yi xie 	人会多一些	c=1 d=1 t=21669
ren jia 	人家	c=17 d=1.00001 t=129440
ren jian 	人间	c=1 d=1 t=9961
ren ke 	认可	c=2 d=1 t=103920
ren kou 	人口	c=1 d=1 t=84307
ren lian shi bie 	人脸识别	c=1 d=1 t=9799
ren mai 	人脉	c=1 d=1 t=148526
ren min 	人民	c=2 d=1 t=27394
ren min bi 	人民币	c=3 d=1 t=92343
ren ne 	人呢	c=2 d=1.00844 t=17910
ren pin 	人品	c=1 d=1 t=62824
ren qi 	人妻	c=1 d=1 t=6076
ren qi 	人气	c=1 d=1 t=60907
ren qun 	人群	c=1 d=1 t=118323
ren ren 	人人	c=1 d=1 t=106169
ren ren 	忍忍	c=9 d=1 t=133484
ren ru 	忍辱	c=1 d=1 t=122511
ren sheng 	人生	c=4 d=1 t=101462
ren shi 	人士	c=2 d=1 t=62497
ren shi 	认识	c=15 d=0.323033 t=148898
ren shou 	人手	c=3 d=2.08297 t=39186
ren suo 	人所	c=1 d=1 t=92950
ren ti gong xue 	人体工学	c=2 d=1 t=143255
ren tou 	人头	c=3 d=1 t=146685
ren wei 	人为	c=1 d=1 t=90798
ren wei 	认为	c=1 d=1 t=90797
ren wu 	人物	c=2 d=1 t=115031
ren wu 	任务	c=21 d=1.97531 t=130540
ren xin 	忍心	c=1 d=1 t=105234
ren xin huang huang 	人心惶惶	c=1 d=1 t=64508
ren xing 	人形	c=1 d=1 t=125626
ren xing 	人性	c=3 d=1 t=82629
ren xuan 	人选	c=1 d=1 t=137002
ren yi 	任意	c=1 d=1 t=111723
ren yi dui 	人一堆	c=1 d=1 t=15253
ren yi ren 	忍一忍	c=1 d=1 t=11641
ren yu 	人鱼	c=1 d=1 t=128737
ren yuan 	人员	c=3 d=1 t=141628
ren yun 	人云	c=1 d=1 t=112372
ren zao shi 	人造石	c=1 d=1 t=74519
ren zhe 	忍者	c=4 d=1.028 t=144427
ren zhe dian 	忍着点	c=1 d=0.690734 t=148898
